Categoria,Subcategoria,Subcategoria,Subcategoria,Producto,Cantidad
Partes,Autopartes,Renault,Renault Gordini,CREMAYERAS,2
Partes,Autopartes,Renault,Renault Gordini,MANIJAS DE PLASTICO,6
Partes,Autopartes,Renault,Renault Gordini,MANIJAS DE METAL,7
Partes,Autopartes,Renault,Renault Gordini,GENERADOR DE VOLTAJE,1
