1,TOLDO DE LONA,Caravelle
1,VELOCIMETRO,Caravelle
1,VIDRIO TRASERO,Caravelle
1,VIDRIO DELANTERO,Caravelle
1,EMBLEMA,Caravelle
1,PALANCA CONTROL DE LUCES,Caravelle
3,TAPAS DE PALANCA CONTROL DE LUCES,Caravelle
2,BOMBEADOR DE AGUA LIMPIA PARABRISAS,Caravelle
2,ASIENTOS DE PIEL,Caravelle
20,BROCHES PARA EMPAQUE DE VIDRIOS,Caravelle
1,MOTOR COMPLETO,Caravelle
2,ASIENTO DELANTERO,Caravelle
1,MANIVELA,Caravelle
1,PALANCA CON POMO,Caravelle
4,TAPAS ORIGINALES,Caravelle
1,TAPON DE GASOLINA,Caravelle
1,CABLE DE CLOCH,Caravelle
1,CABLE FRENO DE MANO,Caravelle
1,CABLE DE ACELERADOR,Caravelle
1,CABLE DE VELOCIMETRO,Caravelle
1,VOLANTE,Caravelle
1,VELOCIMETRO,Caravelle
1,PUNTA DE DEFENSA DELANTERA,Caravelle
4,RINES ORIGINALES,Caravelle
2,FARO DELANTERO (CUARTO Y DIRECCIONAL),Caravelle
1,EMBLEMA DE RENAULT,Caravelle
1,EMBLEMA DE CARAVELLE,Caravelle
2,CUARTO LATERAL CON EMBLEMA,Caravelle
1,FARO DELANTERO (CUARTO Y DIRECCIONAL),Caravelle
1,SILENCIADOR,Caravelle
1,VOLANTE,Prosche
1,BASE DOBLE CON MICA LATERAL,Mercedes
1,FOCO FARO,Mercedes
1,CABLE DE VELOCIMETRO,Mercedes
1,BASE PALANCA PARA CONTROL DE CLIMA,Mercedes
2,VISTA LATERAL DE ASIENTO,Mercedes
2,MICA VISTA DE FOCO DELANTERO,Mercedes
1,TOPE GOMA PARA DEFENSA DELANTERA,Mercedes
4,BASE PARA FOCO DELANTERO,Mercedes
2,BISEL PARA FOCO DELANTERO,Mercedes
1,BISEL PARA FARO DELANTERO,Mercedes  Pieza Nueva
1,FARO DELANTERO,Mercedes  Pieza Nueva
1,CENICERO,Mercedes  Pieza Nueva
4,RIN 16 DEPORTIVO,Mercedes  Pieza Nueva
4,RIN 14,Mercedes  Pieza Nueva
1,ASPA DE BOMBA DE AGUA,Fiarmont
1,CARBURADOR,Fiarmont
1,BASTON DE CAMBIOS,Fiarmont
1,DISTRIBUIDOR,Fiarmont
1,TAPA PORTAFILTRO,Fiarmont
1,BRAZO CON COLLARIN DE CLUCH,Fiarmont
1,BOMBA DE DIRECCION HIDRAULICA,Fiarmont
1,TAPA DE ARO DENTADO,Fiarmont
2,SOPORTE DE PORTA FILTRO,Fiarmont
2,PUERTA TRASERA,Fiarmont
2,PUERTA DELANTERA,Fiarmont
1,MOTOR,Fiarmont
