Categoria,Subcategoria,Producto,Cantidad,Breve Descripcio
Partes,Renault Gordini,Manijas de Plastico,6,Renault Gordino
Partes,Renault Gordini,Manijas de Metal,7,Renault Gordino
Partes,Renault Gordini,Generador de Voltaje,1,Renault Gordino
